system:index,total_precipitation_hourly
19800101T00,2.6149792390313795e-05
19800101T01,2.2856516129346384e-05
19800101T02,1.5876995146888724e-05
19800101T03,1.020312286794028e-05
19800101T04,6.298102239213382e-06
19800101T05,4.675550215694928e-06
19800101T06,4.212339770445236e-06
19800101T07,5.299591059331019e-06
19800101T08,4.813457371265253e-06
19800101T09,6.410753697671767e-06
19800101T10,2.1070844943376703e-05
19800101T11,3.401330866911505e-05
19800101T12,3.024154643605108e-05
19800101T13,3.186828704584453e-05
19800101T14,1.959849696499388e-05
19800101T15,1.6820550688677762e-05
19800101T16,1.2582274570489748e-05
19800101T17,1.4182915072615532e-05
19800101T18,1.534296501139438e-05
19800101T19,2.427311828674706e-05
19800101T20,3.011608365553593e-05
19800101T21,2.7148755862906504e-05
19800101T22,2.0665213264680105e-05
19800101T23,1.1817228645225233e-05
19800102T00,8.488939631362864e-06
19800102T01,9.861158716451797e-06
19800102T02,9.634912137235014e-06
19800102T03,6.4326240166327445e-06
19800102T04,8.834586149757736e-06
19800102T05,1.5131074145375986e-05
19800102T06,2.0853156194121895e-05
19800102T07,4.46621199506033e-05
19800102T08,3.9827709745466395e-05
19800102T09,4.4238480363136555e-05
19800102T10,9.052771225435248e-05
19800102T11,0.00012760327077782196
19800102T12,0.00014391534100655266
19800102T13,0.00010053794351864204
19800102T14,7.638192002352114e-05
19800102T15,5.860804655620477e-05
19800102T16,3.072027197615471e-05
19800102T17,4.202905176953886e-05
19800102T18,3.087608656409095e-05
19800102T19,4.60875278232504e-05
19800102T20,6.917099806388316e-05
19800102T21,9.578623461627344e-05
19800102T22,0.00012555116730120713
19800102T23,0.00016018120353113066
19800103T00,0.00012723823917951536
19800103T01,5.8457047898912694e-05
19800103T02,3.355223701880982e-05
19800103T03,3.507705107752007e-05
19800103T04,5.391693055001554e-05
19800103T05,5.407843388927636e-05
19800103T06,4.338975837354723e-05
19800103T07,3.329572275202485e-05
19800103T08,2.398899803928173e-05
19800103T09,2.3486782844155865e-05
19800103T10,2.213118066117992e-05
19800103T11,2.387105223758327e-05
19800103T12,3.0025725661452248e-05
19800103T13,2.2526189351859076e-05
19800103T14,2.170579791108586e-05
19800103T15,2.6962668850193164e-05
19800103T16,2.134336986306893e-05
19800103T17,2.1221760387763465e-05
19800103T18,2.2007185823223706e-05
19800103T19,0.00010125014190125352
19800103T20,0.00013058873261289898
19800103T21,0.00015497414746114082
19800103T22,0.0002051944777133825
19800103T23,0.00026716021826867815
19800104T00,0.00037265537024535575
19800104T01,0.0005305155706467414
19800104T02,0.0006313570927880375
19800104T03,0.0006724242123087022
19800104T04,0.0007821314039191519
19800104T05,0.0010686730349236
19800104T06,0.0014380660397875
19800104T07,0.0004322359194464579
19800104T08,0.0004414875538315088
19800104T09,0.00035287674836886423
19800104T10,0.0002232571613386833
19800104T11,0.00015799709389572564
19800104T12,0.00012070258411909978
19800104T13,6.318929151841864e-05
19800104T14,7.94055487629118e-05
19800104T15,9.461751791961372e-05
19800104T16,0.00016155563964838268
19800104T17,0.0001507087225849302
19800104T18,0.00011624887159478462
19800104T19,0.00013772951659435462
19800104T20,0.00019178480669207123
19800104T21,0.0003320272361967503
19800104T22,0.0004644780796210573
19800104T23,0.0005745795736161186
19800105T00,0.0007366816301259523
19800105T01,0.0007645289642313435
19800105T02,0.0005605038932173781
19800105T03,0.00032503997766493133
19800105T04,0.0002260291489014324
19800105T05,0.00014444356834306387
19800105T06,6.969120369684369e-05
19800105T07,4.904963581257171e-05
19800105T08,2.9379276685750257e-05
19800105T09,1.845305948968308e-05
19800105T10,1.0490290386119282e-05
19800105T11,2.726526960082469e-05
19800105T12,9.085469160556102e-05
19800105T13,0.00012066884034508504
19800105T14,0.00012216446123821935
19800105T15,0.0001091607194870668
19800105T16,6.974806206457178e-05
19800105T17,3.1869467138630494e-05
19800105T18,2.7819452479968647e-05
19800105T19,6.848155080001417e-05
19800105T20,8.188729586008613e-05
19800105T21,0.00014131185761797653
19800105T22,0.0001832772165091185
19800105T23,0.000255696634912622
19800106T00,0.0002727623654253874
19800106T01,0.0002475947428564477
19800106T02,0.00017584612502410162
19800106T03,0.00015578076994731636
19800106T04,0.00016440468535072668
19800106T05,0.0002027164974658954
19800106T06,0.000182337983909076
19800106T07,0.00018042113264895508
19800106T08,0.00014625902304360276
19800106T09,0.00016509452793535428
19800106T10,0.00022501362655957653
19800106T11,0.00025848740365299314
19800106T12,0.0002259367015216598
19800106T13,0.00024637518996151913
19800106T14,0.0002663421207869145
19800106T15,0.00032160086553625656
19800106T16,0.00024196770013952009
19800106T17,0.0002295963982431104
19800106T18,0.000249313808103085
19800106T19,0.0004287428596788779
19800106T20,0.00040903600980935785
19800106T21,0.0004212791858356718
19800106T22,0.0003228892854312189
19800106T23,0.0002490927302552033
19800107T00,0.0001995328798436002
19800107T01,0.00013980412452444842
19800107T02,0.00011043466393497554
19800107T03,8.332706649646056e-05
19800107T04,7.169143763444197e-05
19800107T05,8.43643035321378e-05
19800107T06,0.00011940262668508832
19800107T07,0.0002801484199725732
19800107T08,0.0003212944189154389
19800107T09,0.0002950601081030513
19800107T10,0.00023860473361354432
19800107T11,0.0001996575172860949
19800107T12,0.00014956881803736017
19800107T13,0.00014302271444551203
19800107T14,0.00013044968901066597
19800107T15,0.0001022192525849918
19800107T16,7.781758413883893e-05
19800107T17,6.169873458192284e-05
19800107T18,6.270077101537358e-05
19800107T19,4.459163994138125e-05
19800107T20,4.236490821515485e-05
19800107T21,4.0490445848427154e-05
19800107T22,4.677884154445431e-05
19800107T23,5.5742654468012854e-05
19800108T00,5.942370025171577e-05
