system:index,temperature_2m
198001,272.148969464802
198002,276.9972318611753
198003,277.77921447710634
198004,279.45690845597187
198005,284.01167124890407
198006,286.9772716720486
198007,287.6934466304007
198008,289.7241802203565
198009,287.7893308027252
198010,281.4993615793657
198011,276.0714429699333
198012,273.3273746019737
198101,272.4954902035069
198102,273.1368373248285
198103,280.5350070170612
198104,281.59216969119484
198105,285.27746183260285
198106,287.61127982326815
198107,289.16683843621206
198108,289.8698912605009
198109,287.5078249469644
198110,281.66588738302227
198111,277.87657891879314
198112,272.7625300907571
198201,272.42945091679513
198202,274.9103018225264
198203,277.4027682807954
198204,279.8360167142447
198205,285.36438330076123
198206,289.4991444608107
198207,292.15990016315965
198208,289.72933721178777
198209,289.4904211867947
198210,282.7793980543173
198211,279.66466286805274
198212,275.53368600360466
198301,276.5973910893469
198302,272.2340321587226
198303,277.7130798411754
198304,281.1636204775993
198305,283.18338068891813
198306,289.2903609195773
198307,294.4466284154946
198308,292.26093930177774
198309,287.13293845186604
198310,282.70822717999215
198311,277.13718978886357
198312,274.93577274930743
198401,274.42542440613386
198402,273.65912477569117
198403,275.77366932091195
198404,279.7243446939205
198405,282.74388855067275
198406,286.8173278542502
198407,289.6483184458583
198408,290.6908532112203
198409,285.85445444062753
198410,283.56771115830435
198411,279.94517814078375
198412,275.158837802914
198501,268.2181453271997
198502,272.17006466339524
198503,276.2366271007682
198504,281.01233787259525
198505,285.68753423980337
198506,286.50902771329066
198507,290.73971276875716
198508,289.03472303201664
198509,287.8289699623562
198510,283.0749018601657
198511,274.2776606725528
198512,276.8599133668675
198601,273.89936870827154
198602,267.75023224288407
198603,276.46191795716794
198604,278.7502078058369
198605,286.3092496260416
198606,289.2338737362284
198607,290.041676012507
198608,289.3873628453535
198609,285.0366579504578
198610,283.9375270325129
198611,279.2312435740898
198612,275.5569973115639
198701,268.75135413100094
198702,273.840931741251
198703,274.6437644378692
198704,282.4087022039243
198705,282.55967116431555
198706,286.84668452535016
198707,289.91109207941497
198708,289.1417808727854
198709,288.9640403862602
198710,283.7433233989811
198711,278.15468104164523
198712,275.7057449240225
198801,277.4937948039982
198802,275.1232850814367
198803,276.90614565733796
198804,281.68176145128103
198805,287.0652659263004
198806,288.2022673390395
198807,289.4252988450084
198808,290.6380375961629
198809,286.6116357186726
198810,284.0077855924522
198811,276.7504838012702
198812,277.40402926030043
198901,275.74596396911744
198902,276.3232364850053
198903,280.7132185350605
198904,280.17677226713636
198905,287.4079460450061
198906,288.56784928813346
198907,291.5105753811072
198908,290.7452526278325
198909,287.6207524116665
198910,284.13185326562626
198911,276.70022264254294
198912,276.45644814635097
199001,275.5798648458027
199002,279.41649782877835
199003,280.15086359774796
199004,280.3242310151091
199005,287.3624436441752
199006,288.15924282731396
199007,290.6779769008999
199008,292.5878893808974
199009,285.5714426657691
199010,284.41238218661056
199011,278.02047976774526
199012,273.9368376153733
199101,274.85469504769475
199102,271.58882399444764
199103,280.5814995820239
199104,280.36702166812057
199105,283.16459202500823
199106,286.5248226192422
199107,292.54718981104713
199108,292.6049829761033
199109,289.42426721139657
199110,282.10165502069975
199111,277.3686696202871
199112,274.07593503502903
199201,274.1035891972483
199202,276.01005102200645
199203,278.52966793992704
199204,281.0708255824643
199205,287.37616502045813
199206,289.3045387892594
199207,291.58554425346904
199208,292.51494962546064
199209,286.98488379522473
199210,280.46275632029494
199211,279.594057185836
199212,275.92509526568614
199301,276.9285937060847
199302,273.11769660609986
199303,277.58685719206784
199304,283.37560441908494
199305,287.3070094082667
199306,289.5344173090585
199307,289.775908065438
199308,289.90770598419147
199309,285.9274100191183
199310,281.46066784892037
199311,274.5938212182133
199312,276.7916823004153
199401,275.97689152005603
199402,275.0288711926895
199403,280.2010504270659
199404,280.6234206911521
199405,285.5201602150044
199406,289.20103571869345
199407,294.5946371336229
199408,291.09537097510884
199409,286.45879099695935
199410,282.1648704741891
199411,281.6916253393181
199412,277.4521972937914
199501,274.6831165175043
199502,278.26764064024945
199503,276.6353044137245
199504,281.5255061572264
199505,285.4745123664541
199506,287.24033485133043
199507,293.5317417191585
199508,291.87026821293307
199509,285.5254145941875
199510,285.9275423809638
199511,277.83576008382903
199512,273.50557985374155
199601,273.28839373998943
199602,272.75556993127367
199603,275.7889878761264
199604,281.5740002473472
199605,283.8947828617266
199606,288.9078831133774
199607,289.4316581066251
199608,290.0562237852057
199609,284.4762084411228
199610,282.86401592296613
199611,277.5780057111273
199612,272.5472616549161
199701,270.4411791089848
199702,277.31438237060394
199703,280.2642810110578
199704,280.01768604045935
199705,285.4372454909667
199706,288.4358976921775
199707,289.8828517522843
199708,293.39518849913844
199709,287.89321516166876
199710,281.9636518783341
199711,278.4110337929265
199712,275.7911496663777
199801,275.6492734623893
199802,276.6080572580735
199803,278.6600362374895
199804,281.00252587051807
199805,286.90240146781645
199806,288.97552600751067
199807,289.32513467457676
199808,290.76188081727537
199809,286.6863194083996
199810,282.1771134246208
199811,274.9344645265186
199812,275.036994174905
199901,276.3925717455862
199902,273.88994699136316
199903,278.9274332577802
199904,281.76629111051085
199905,286.91861296525275
199906,288.0820477540082
199907,291.9874979408605
199908,290.68047399125544
199909,290.0695693544495
199910,282.57116387319826
199911,276.6064495416496
199912,275.2780568993721
200001,274.580259149221
200002,277.0512960883437
200003,278.53562106068324
200004,282.4180414490581
200005,287.17181690741114
200006,289.7275475224491
200007,287.97864429769186
200008,291.0702855854961
200009,287.81361267790317
200010,283.441211659917
200011,279.54261118878134
200012,277.7343394630188
200101,275.45767552196116
200102,276.3447874398221
200103,279.19128327662196
200104,279.90087588744444
200105,287.3033649111118
200106,287.64172006068617
200107,291.5168587440132
200108,291.9193434938249
200109,284.6038763418369
200110,286.30552129770257
200111,276.76532729102905
200112,273.36577182651456
200201,273.84035304460537
200202,278.31960424619894
200203,279.083993578894
200204,281.4568335002071
200205,285.61649280087136
200206,290.50132501392864
200207,290.5882380461609
200208,291.07329157958804
200209,286.4580081162496
200210,282.9211585897205
200211,280.45917645902625
200212,276.69589244931194
200301,272.8198761951197
200302,272.61947193070847
200303,279.8888872633594
200304,282.09110023460653
200305,286.843787460755
200306,293.26361446541006
200307,292.53079431825626
200308,295.3109350678453
200309,287.73845818845376
200310,280.4406932303764
200311,279.9401513304247
200312,275.41819003997
200401,274.0910817487054
200402,275.7119578576604
200403,277.27139353127137
200404,282.1241159033419
200405,284.6366510480327
200406,288.6793237789241
200407,290.3658542491571
200408,291.61256961293594
200409,288.030853083068
200410,284.14012406892203
200411,277.67844967754286
200412,273.76870518397567
200501,275.0998851464839
200502,272.2822617986251
200503,277.7672817194144
200504,282.4552801018778
200505,285.73433069570854
200506,290.4155277794008
200507,291.3785232824762
200508,289.1512461343694
200509,288.749366572169
200510,285.8463504592815
200511,277.873445395544
200512,274.00450297639895
200601,272.50547685456456
200602,273.79747908178695
200603,275.8554952424873
200604,281.13429443433046
200605,285.94906191139296
200606,289.9069624679243
200607,295.95075530054686
200608,288.2977408039436
200609,290.1937915928458
200610,286.1157168925633
200611,280.73438908360777
200612,277.1024870028636
200701,277.80078041491925
200702,278.11412933969876
200703,278.8507220403564
